product_id,brand_id,collection,product_name,category,material_primary,material_secondary,retail_price_usd,size_options,reference_number,source_url,date_captured,date_updated,is_active,notes
dy-cable-001,david-yurman,Micro Cable Flex,Heart Station Bracelet 2.6mm,bracelets,sterling silver,14K yellow gold,395,,N/A,https://www.davidyurman.com/,2026-01-23,2026-01-23,true,
dy-cable-002,david-yurman,Micro Cable Flex,Bracelet 2.6mm,bracelets,sterling silver,14K yellow gold,395,,N/A,https://www.davidyurman.com/,2026-01-23,2026-01-23,true,
dy-cable-003,david-yurman,Micro Cable Flex,X Bracelet 2.6mm,bracelets,sterling silver,14K yellow gold,395,,N/A,https://www.davidyurman.com/,2026-01-23,2026-01-23,true,
dy-cable-004,david-yurman,Micro Cable Flex,Bracelet 2.6mm with Diamonds,bracelets,sterling silver,diamonds,495,,N/A,https://www.davidyurman.com/,2026-01-23,2026-01-23,true,
dy-cablespira-001,david-yurman,Micro Cablespira,Flex Bracelet 2.6mm,bracelets,18K yellow gold,,1750,,N/A,https://www.davidyurman.com/,2026-01-23,2026-01-23,true,
dy-cablespira-002,david-yurman,Classic Cablespira,Bracelet 3mm,bracelets,18K yellow gold,diamonds,2550,,N/A,https://www.davidyurman.com/,2026-01-23,2026-01-23,true,
dy-cablespira-003,david-yurman,Cablespira,Flex Bracelet 4mm,bracelets,18K yellow gold,,3200,,N/A,https://www.davidyurman.com/,2026-01-23,2026-01-23,true,
dy-cablespira-004,david-yurman,Cablespira,Flex Bracelet 6mm,bracelets,18K yellow gold,,4600,,N/A,https://www.davidyurman.com/,2026-01-23,2026-01-23,true,
dy-sculpted-001,david-yurman,Sculpted Cable,Bangle Bracelet 4.6mm,bracelets,18K yellow gold,diamonds,9900,,N/A,https://www.davidyurman.com/,2026-01-23,2026-01-23,true,
dy-sculpted-002,david-yurman,Sculpted Cable,Bangle Bracelet 6.2mm,bracelets,18K yellow gold,diamonds,13200,,N/A,https://www.davidyurman.com/,2026-01-23,2026-01-23,true,
